"Fictional_story","Abstract_shapes","Sensory_sensations","Life_experiences","Media","Music","Future_plans","Building","Everyday","Movement_mem","Mem_description","Mem_music_evoked","Mem_spontaneity","Mem_individuality","Movement_story","Story_description","Story_music_evoked","Story_spontaneity","Story_individuality","Other_info","Feedback","join_key","Age","Gender","Music_listening","Practice","Location"
"Not at all","Not at all","Not at all","A small amount of the time","Not at all","A small amount of the time","Not at all","Not at all","Not at all","Br1","A Royal Court","Mostly","Mostly","Slightly","Br1","As above -- mostly static images","Mostly","Moderately","Moderately",NA,"1st half -- more interference in the music. Brahms more complex -- demanded my full attention","1","80","Male","Moderately frequently","4","E"
"A moderate amount of the time","A small amount of the time","Not at all","A moderate amount of the time","Not at all","Most of the time","A moderate amount of the time","A small amount of the time","A small amount of the time","Br3","No particularly strong memories. Some work related stress :( Similarly thought about stressful interactions at work with coworkers","Moderately","Mostly","Moderately","Br3","Very intense storm over a desert (either movement 2 or 3). Turbulent clouds. Rain.","Entirely","Mostly","Moderately","The lst movement (last ~1.5 minutes) were so powerful!",NA,"2","28","Male","Moderately frequently","Not daily practice but weekly? For 5 years","G"
"A moderate amount of the time",NA,"A moderate amount of the time",NA,NA,"Most of the time",NA,NA,NA,"Br1","Reminded me of the tune from Dr. Zhivago. Could remember the soup on a cold day.","Mostly","Mostly","Mostly","Br1","Dr. Zhivago","Mostly","Mostly","Mostly",NA,"Nice! Glad to be a part of your research. Would be interested in your findings. Maybe present them at a different PUC!","3","52","Female","Moderately frequently","N/A","H"
"A small amount of the time",NA,"A small amount of the time",NA,NA,"A small amount of the time","Not at all","Not at all","Not at all","Br1;Br4","At times I was too distracted by the hands of the pianist and the intense emotions of the viola player. Br1: The first movement made me think of the ocean sea and its many moods from quietly lapping to a raging storm.","Moderately","Slightly","Slightly","Br1;Br4",NA,"Moderately","Slightly","Slightly",NA,NA,"4","78","Female","Moderately frequently",NA,"G"
"Not at all","Not at all","Not at all","All of the time","Not at all","All of the time","All of the time","Not at all","A moderate amount of the time","Br1","I remembered times when I played the piece myself","Entirely","Entirely","Entirely","Br1","No fictional story","Not at all","Not at all","Not at all",NA,NA,"5","31","Male","Very frequently","24","I"
"A small amount of the time","A small amount of the time","A moderate amount of the time","A moderate amount of the time","Not at all","A moderate amount of the time","A small amount of the time","A small amount of the time","A small amount of the time","Br2",NA,NA,NA,NA,"Br2","I imagined sheep as the music started, and their wooly bodies were quite vivid and lifelike","Moderately","Entirely","Moderately",NA,"I found it interesting to categorize my inner musings as memories, plans for the future, fictitious musings and everyday stuff. Often, these become intertwined as the memories morph into new concepts and ideas for the future","6","38","female","Frequently",NA,"k"
"Most of the time","A small amount of the time","A small amount of the time","Most of the time","A small amount of the time","All of the time","Most of the time","Most of the time","All of the time","Br2","My relaxing wonderful lunch with my daughter on Sunday. Afterwards- out talking to the aary","Mostly","Entirely","Entirely","Br4","Definitely a frantic search for something important","Entirely","Entirely","Entirely",NA,NA,"7","58","Female","Moderately frequently","04-May","K"
"Most of the time","Not at all","Not at all","A small amount of the time","A small amount of the time","A moderate amount of the time","Not at all","Not at all","Not at all","Br3","to con donn to detail, all over the board","Slightly","Mostly","Mostly","Br4","a lot of fictitious images about my prior job in law enforcement","Mostly","Mostly","Entirely","No",NA,"8","57","Male","Very rarely","Never","K"
"Not at all","A small amount of the time","Not at all","A moderate amount of the time","Not at all","A moderate amount of the time","A small amount of the time","Not at all","A small amount of the time","Br3","The scherzo has been one of my favorite pieces since I was a teenager and I listen to it often. The last time I saw it performed was by faculty at a summer music camp I attended when I was 16. I kept thinking about the summer camp even though those memories in general don't 'match' the music.","Entirely","Mostly","Mostly",NA,"No ficional thoughts that I remember",NA,NA,NA,NA,NA,"9","34","Female","Very frequently","15","K"
"A moderate amount of the time",NA,NA,"A small amount of the time",NA,"A small amount of the time",NA,NA,NA,"Br3",NA,NA,NA,NA,"Br3","The opening of the Scherzo brought to mind a scene of people fleeing by night through a wav-torn landscape. But the major section following brought to mind people marching proudly by dat. The alternation of there themes grew to suggest an entire population, a national struggle of some kind. The finale continued their feeling.","Mostly","Entirely","Moderately",NA,NA,"10","73","Male","Very frequently","68","I"
"Most of the time","Most of the time","A small amount of the time","A small amount of the time","A small amount of the time","Most of the time","A small amount of the time","A small amount of the time","A small amount of the time","Br3","Thought about my own experiences performing in concert band. Very easy to sway along/ move to the tempo of the beat. Brahms holds a place in my mind -- I remember playing autumn-inspired piece (don't remember it's name unfortunately) in high school. Brahms ... holds a very melodramatic space in my head.","Mostly","Mostly","Mostly","Br2","A story of the future --a nurse gets called to a mission in space (have no clue why, I just like the visual). She's blasted into space, there's visual spectacle of all the shapes and stars and galaxies","Mostly","Mostly","Mostly",NA,"As someone who treasures creativity, I enjoy this exercise, as it allows for a spontaneous burst of thought. Classical music is always going to be an exercise of emotion (amongst other, more rigorous things). I think this was a good way to consciously engage yourself in the concert -- encourage more of a commitment to insert yourself into the music.","11","25","Male","Very frequently","8","K"
"A moderate amount of the time","Not at all","A small amount of the time","Not at all","Not at all","All of the time","Not at all","Not at all","Not at all",NA,NA,NA,NA,NA,"Br2; Br3","Br2: Romantic conversation in flower/plant conversations/ Riverside; Br3: a card game disagreement!","Entirely","Entirely","Mostly","3rd and 4th had horse racing/galloping moments",NA,"12","71","Female","Very frequently","60+","J"
"A small amount of the time","Not at all","Not at all","Most of the time","Not at all","A moderate amount of the time","Not at all","Not at all","Not at all","Br2","memories of social events, memorable places","Mostly","Mostly","Slightly","Br2",NA,"Mostly","Mostly","Slightly",NA,NA,"13",NA,"Male","Very frequently",NA,"J"
"All of the time","All of the time","Most of the time","Most of the time","Not at all","Not at all","Not at all","Not at all","Not at all","Br3","A late night moonlit scene in a forest. A lone rider on a horce galloping towards a destination. The moonlight blending the trees illuminating the path. The seat of seeat and pores. Amist shrubbery through the underbush. The horse slates down as the rider nears a pond, the stars reflected in the water the horse clarifies cool worse while the rider contemplates the steps and his fate","Entirely","Entirely","Entirely","Br1","The rider emerges from __ on a cloudy night. Slowly and with trepidation peaks a forest as the skys clear and a full moon's light blendes the trees. The rider ___ proceeds, the horse galloping beneath him towards an unfound destination. Night spirits around in the surrounding woods, dancing in the moonlight","Entirely","Entirely","Entirely",NA,"More the night more enjoyable and vivid.","14","63","Male","Very frequently","Oct-15","H"
"A moderate amount of the time","A moderate amount of the time","Not at all","A moderate amount of the time","A moderate amount of the time","Most of the time","Not at all","A moderate amount of the time","A small amount of the time","Br2","Dancing to the lyrical movement - long dresses - summer evening","Entirely","Mostly","Entirely","Br3","Racing horses - a chase scene","Entirely","Entirely","Mostly",NA,NA,"15","75","Female","Very frequently","many, many years","I"
"Not at all","A small amount of the time","Not at all","A moderate amount of the time","A moderate amount of the time","Most of the time","Most of the time","Not at all","A moderate amount of the time","Br2","End of relationships - marraige, etc.","Slightly","Mostly","Mostly",NA,NA,NA,NA,NA,NA,"Really - my mind wanders until I come back to watching the musicians and paying full attention to the music itself.","16","73","Female","Moderately frequently","Not recently - childhood","H"
"Not at all","Not at all","A small amount of the time","A small amount of the time","Not at all","All of the time","A small amount of the time","A moderate amount of the time","A small amount of the time",NA,"Nope! I was entirely focused on the music or distracted by minor nonsense in the space.",NA,NA,NA,NA,"Nope! No ""imaginings"" or none that were significant enough to stick around. Too engrossed",NA,NA,NA,"The syncopated 3rd mvt was so engrossing and the tempo was so fast - super engrossed and on the edge of my seat. Sorry, no memories or ""imaginings"" during the second half of the concert - too engrossed!","Big time framing effect - had lots of meta thoughts. People with clipboards made distracting noises. Fun though! Good luck with this cool study!","17","44","Female","Very frequently","From age 8-25","I"
"Not at all","Most of the time","Not at all","Not at all","Not at all","Most of the time","Not at all","Not at all","Not at all","Br1; Br4","1. Magestic - beauty - sorrow 4. Dance like apoteosic","Mostly","Mostly","Mostly",NA,NA,NA,NA,NA,"Watching the musicians live playing the music is an extraordinary experience!",NA,"18","78","Male","Frequently","none","I"
"A moderate amount of the time","Not at all","Not at all","A small amount of the time","Not at all","All of the time","Not at all","All of the time","All of the time","Br1","On all of the movements, but mostly the first, vivid memories of page turning for other pianists during chamber performances. A little anxiety inducing","Entirely","Mostly","Entirely","Br4","During the funeral - march movement in f minor (i think???) I imagined dark night shy with old, crumbling, buildings. Very vivid, felt very ancient","Entirely","Entirely","Mostly",NA,"Everyone who took part in the survey is cool and beautiful and a genius and I am in no way biased as a music department student! Y'all are awesome and endlessly innovative","19","24","Female","Very frequently","18","H"
"Not at all","Not at all","Not at all","A moderate amount of the time","Not at all","A moderate amount of the time","Most of the time","Not at all","Not at all","Br1; Br3","Memory of a past conference - triggered mainly by my thoughts/plans for a future conference.","Not at all","Entirely","Entirely",NA,NA,NA,NA,NA,"I spent most of my time thinking about research plans",NA,"20","29","Female","Moderately frequently","I don't play any instrument nor sing","G"
"Not at all","Not at all","Not at all","Not at all","Not at all","All of the time","Not at all","Not at all","Not at all","Br3","No specific memory, really. Just a very tense movement, so made me think of walking on a balance beam...",NA,NA,NA,NA,NA,"Entirely","Slightly","Moderately","In this piece, I was entirely focused on the music and the performers. Imagining was a luxury reserved for a less compelling piece. I was fixated on them like there was going to be a test immediately after","Fun!","21","55","Female","Very frequently","10","G"
"A small amount of the time","Not at all","A moderate amount of the time","A small amount of the time","Not at all","A small amount of the time","A small amount of the time","Not at all","Not at all","Br1","I remembered more memories from summer in Vermont. I thought about particular places in Marlboro- town center, south pound, the music festival, and houses around town.","Entirely","Not at all","Entirely","Br3","Somewhere around here someone in the audience made a bunch of noise, and I started thinking of different ways audience members could ruin the performance by making noise.","Not at all","Not at all","Not at all",NA,NA,"22","28","Male","Moderately frequently","12","G"
"A moderate amount of the time","A small amount of the time",NA,"A moderate amount of the time",NA,"All of the time","A moderate amount of the time",NA,NA,"Br1","attacking peoples concerts NYC 1970s with 100s of (Wash Fring Schoool Manhattan) audience members in their 50s-70s-80s most emerque's from Europe, watching their hands quieter as they fingered the shops of the washmakers they played in youth-- A very demanding audience, no matter how son we ___ in auditorium, a dozen old ladies had elamed entire ros for their friends and defended ""their"" temporary as we week by clamped to rear of balancing.","Mostly","Moderately","Moderately","Br2; Br4","A mindful celebration not military but full of of people -- beloved by protagonist remembering almost in a dram of multiple years of a life long part. The outside the vigorous sounds of a row generation dancing of peaging--perhaps grandchildren of the elderly dreamer","Mostly","Mostly","Mostly",NA,"Seems a bit understranded. Please no ""starp rcs"" -- just cherry pick. Social science research is but some as contemplating society.","23",NA,"Male","Frequently","Almost daily 40 years","F"
"Not at all",NA,"Not at all","A small amount of the time","Not at all","Most of the time","Not at all","Not at all","A small amount of the time","Br3","The rapid rhythm of the music brought back a memory of dancing wildly around -- as well as a ranch experience. Unlike the first half of the program however, the Brahms did not evoke much ""imagining"".","Slightly","Slightly","Slightly","Br3","Again the rapid rhythm prompted a scene of horse racing","Entirely","Entirely","Slightly",NA,"Happy to be able to participate! I think some of the questions could be better worded however -  it dwas unclear exactly what the referece was in the second page and 2A. And the term ""imaginings"" was not entirerly linked in.","24",NA,"2","Frequently","65 years but probably not daily","I"
"A small amount of the time","Not at all","Not at all","A small amount of the time","A moderate amount of the time","All of the time","A moderate amount of the time","Not at all","Not at all","Br4","OWAs was the present mostly. Music evoked mostly was in the pleasant with the music is rhythm, timing, ___. Anxious, not bad best how the music was reaching for ___.","Mostly","Mostly","Entirely","Br2","___, ____, Countryside","Mostly","Mostly","Entirely",NA,": )","25",NA,"4",NA,NA,NA
"A small amount of the time","Not at all","Most of the time","Most of the time","Not at all","All of the time","Not at all","Not at all","Not at all","Br4","A broad river, intensely blue, the sensation of floating along it. That occurred for a second - while, but mostly I thought only of the music as music. Also, somewhat I let my imagination loose on the ideas of what it must have felt when to compose it.","Entirely","Entirely","Entirely","Br4","What it might have been like to come up with these musical ideas and to write them out. The labor, the temporary frustration, a final tirumph.","Entirely","Entirely","Entirely",NA,"It made me realize how difficult it is to translate musical experinece into other mental events. In fact, I think it is impossible.","26","73","Female","Very frequently","Twelve","H"
"A moderate amount of the time","Not at all","A small amount of the time","Not at all","Not at all","Most of the time","Not at all","A small amount of the time","A small amount of the time","Br2","Being in an open market place, in front of Italy. Not very specific in the details.","Slightly","Slightly","Mostly","Br2","Dancing in an outdoor venue. 19th C setting. I was thinking about how the music was inspired by folk music, particularly for dancing couples.","Entirely","Mostly","Moderately",NA,"It's a good idea to learn about the audeince's thoughts. Will we learn of the results and analysis? Thank you!","27","68","Female","Frequently","Never","G"
"Not at all","Not at all","Not at all","Most of the time","Not at all","All of the time","Not at all","Not at all","Not at all",NA,"I thought about when I played this piece and how much more difficult it is than these wonderful musicans made it sound.","Entirely","Entirely","Entirely",NA,"Not fictional",NA,NA,NA,"I thought the second movement was a little fast!","I think this kind of imagaining might be more prevalent listening to recordings. In a live performance one wants to attend to the immediecy of the experience.","28","77","Female","Very frequently","70","I"
"Not at all","Not at all","Not at all","Not at all","Not at all","All of the time","Not at all","Not at all","Not at all",NA,"No memories at all. The music (Brahms) was just gorgeous - all consuming. There is no room for anything outside the music. It creates its now vast sapcea nd then unfolds within + beyond that. It is beyond the time of memories or imaginings.","Not at all","Not at all","Not at all",NA,"None at all","Not at all","Not at all","Not at all",NA,"Yes! I don't know how this research will reveal interesting results. Any non-verbal art will suggest memories if that is what you are looking for but how is listening to music different? And waht about a live performance - you ask no questions about that - it's different from listening to a recording.","29","73","Female","Very frequently","10 years from age 8-18; now 3 years","I"
"Not at all","Not at all","Not at all","Not at all","Not at all","Most of the time","Not at all","Not at all","Not at all",NA,"No memories - just music.","Not at all","Not at all","Not at all",NA,"None - sorry",NA,NA,NA,NA,NA,"30","77","Female","Frequently",NA,"E"
"Not at all","Not at all","Not at all","A small amount of the time","Not at all","Not at all","Not at all","Not at all","Not at all","Br2","One memory, or rather memory of a memory, from first grade (1945), of a blonde girl in my class, at recess outside. I think her name was Barbara.","Not at all","Entirely","Entirely",NA,"I had no fictional imaginings.",NA,NA,NA,NA,NA,"31","86","Male","Frequently","None. Tried to learn the clarinet when in school (~1954), failed.","F"
"Not at all","Not at all","Not at all","A small amount of the time","Not at all","A moderate amount of the time","A moderate amount of the time","Not at all","A moderate amount of the time",NA,"Orchestral music is visceral and takes over the body. Chamber music is cerebral and ___ for ___, it takes over the mind. Chamber music gives the listener more space for our mind to wander. When I was not focused on the players and the musicianship, my mind wandered to the personal ___ + ___ todau. I did not experience ___ or any special ....","Not at all","Entirely","Entirely","Br2","My ind wandered during the andante movememnt 2. No chance for it to wander in the Scherzo movemement when the music commands both body and mind.","Slightly","Entirely","Entirely",NA,"I am happy to do it. However, my guess is that the experience of synthesia - colors, smells, etc - has to do ___, the psychology of the listener and not the quality of the music.","32","81","Male","Frequently","10 years from age 8-18","D"
"Not at all","A small amount of the time","Most of the time","Not at all","Not at all","Most of the time","Not at all","A small amount of the time","A small amount of the time","Br3; Br4","I didn't have a memory, but this piece is familiar to me, which made me try to place where I've heard it before!","Moderately","Not at all","Not at all","Br2; Br3","I didn't have a vivid scene, mostly because I was distracted by a clanging cane down in the front row banging the floor. For a moment I got an image of scotttish bag pipes coming over mossy hill.","Mostly","Entirely","Entirely",NA,NA,"33","35","Female","Frequently",NA,"F"
"Most of the time","A moderate amount of the time","A small amount of the time","A small amount of the time","Not at all","Most of the time","A small amount of the time","A small amount of the time","Not at all","Br4","The harmony with the quartet in the smooth part were brought me suddenly back to Tyto in a Japanese ancient garden, ___ that day were incredibly sunny but not hot, the light reflects everything so gently, I remember how the curving of the plant, how the temple's structure when its combining with the smooth of cello. Then suddenly everything went harsher, pulling me every from the great travel memories that I have, and I was again into the music, impressed by gigantic harmony.","Moderately","Moderately","Entirely","Br2","___ I lift up my head in the early spring ___ how, back from China, I see the sun light passing through glass window puring its love at then I was ___.","Mostly","Moderately","Entirely","How the performers' expression and emotion emphasizes the music itself and personal memoires? For me, deeply involving in relating to and inverse in the music more deeply.","Maybe could adjust the Memories and Thenes to a bigger format. Everythign is great! : )","34","10 (or 60?)","Female","Very frequently","Eleven years of piano","F"
"A small amount of the time","A small amount of the time","Not at all","A moderate amount of the time","Not at all","All of the time","A small amount of the time","A small amount of the time","Not at all","Br1; Br2; Br3; Br4","I love all the movements so much.","Mostly","Mostly","Moderately","Br2","This movement made me think of Brahms and Clara","Moderately","Moderately","Slightly",NA,NA,"35","42","Female","Very frequently","30","E"
"A moderate amount of the time","A small amount of the time","A small amount of the time","A moderate amount of the time","A small amount of the time","Most of the time","A moderate amount of the time","A moderate amount of the time","A small amount of the time","Br2","It reminds me when I was helping a young cellist to learn the 2nd mvt. She needed to learn the notes (it's hard for her) and I was also playing the 1st violin part (on my cello) to help her get more ideas about what's happening in the context.","Moderately","Slightly","Moderately","Br3","A prince is riding a horse to and is in a rush. Not to save people. Probably in argency to see someone. The story didn't go on because the piece ended in a sudden (didn't feel like it was the end).","Mostly","Mostly","Moderately",NA,"Thank you.","36","27","Male","Frequently","20","F"
"A small amount of the time","Not at all","Not at all","Most of the time","A small amount of the time","All of the time","A small amount of the time","Not at all","A moderate amount of the time","Br2","Talking to my friend's girlfriend about what she sees in him and how she envisions their future to be like. More focus on the words/conversation rather than the environment at that time.","Moderately","Mostly","Entirely","Br4","Pirates of the Carribean, especially towards the final 2 minutes of the last movement. Jack Sparrow was about to get hung out makes a daring, misty escape! Very dramatic. The music also sounded privatee-y?","Mostly","Moderately","Slightly",NA,NA,"37","20","Female","Frequently","13","K"
"Not at all","Not at all","Not at all","A moderate amount of the time","Not at all","Most of the time","A small amount of the time","Not at all","A moderate amount of the time","Br2","Slowly moving up the _____ River in ___ on a paddle/steam boat from 1920s, looking at the peaceful scenes and visiting villages. 4","Mostly","Mostly","Entirely",NA,"No fictional imagining",NA,NA,NA,NA,NA,"38","83","Female","Frequently",NA,"J"
